CUSIP NO,ASTRK,ISSUER NAME,ISSUER DESCRIPTION,STATUS
G3619H 12 8,,FORBION EUROPEAN ACQUSTN COR,UNIT 12/10/2026,DELETED
G36738 10 5,*,FRESH DEL MONTE PRODUCE INC,ORD,
G36738 90 5,,FRESH DEL MONTE PRODUCE INC,CALL,
G36738 95 5,,FRESH DEL MONTE PRODUCE INC,PUT,
G36816 10 9,,FRONTIER INVESTMENT CORP,CLASS A ORD SHS,
G36816 11 7,,FRONTIER INVESTMENT CORP,UNIT 06/29/2026,
G36816 12 5,,FRONTIER INVESTMENT CORP,*W EXP 06/29/202,
G3728V 10 9,*,GAN LTD,SHS,
G3728V 90 9,,GAN LTD,CALL,
G3728V 95 9,,GAN LTD,PUT,
G3730L 10 7,,GARDEN STAGE LIMITED,USD ORD SHS,ADDED
G3730V 10 5,*,FTAI AVIATION LTD,SHS,
G3730V 90 5,,FTAI AVIATION LTD,CALL,
G3730V 95 5,,FTAI AVIATION LTD,PUT,
G38258 10 2,,GENERATION ASIA I ACQUISITIO,CL A ORD SHS,
G38258 11 0,,GENERATION ASIA I ACQUISITIO,UNIT 99/99/9999,
G38258 12 8,,GENERATION ASIA I ACQUISITIO,*W EXP 99/99/999,
G38327 10 5,*,GEOPARK LTD,USD SHS,
G3855L 10 6,*,GH RESEARCH PLC,ORDINARY SHARES,
G3855L 90 6,,GH RESEARCH PLC,CALL,
G3855L 95 6,,GH RESEARCH PLC,PUT,
G38644 10 3,*,GIGACLOUD TECHNOLOGY INC,CLASS A ORD,
G38644 90 3,,GIGACLOUD TECHNOLOGY INC,CALL,
G38644 95 3,,GIGACLOUD TECHNOLOGY INC,PUT,
G39108 10 8,*,GATES INDL CORP PLC,ORD SHS,
G39108 90 8,,GATES INDL CORP PLC,CALL,
G39108 95 8,,GATES INDL CORP PLC,PUT,
G3922B 10 7,*,GENPACT LIMITED,SHS,
G3922B 90 7,,GENPACT LIMITED,CALL,
G3922B 95 7,,GENPACT LIMITED,PUT,
G3932F 10 6,,SUNRISE NEW ENERGY CO LTD,SHS,
G3934N 10 7,,GLOBAL TECHNOLGY ACQSTN CORP,CLASS A ORD,
G3934N 11 5,,GLOBAL TECHNOLGY ACQSTN CORP,*W EXP 10/19/202,
G3934N 12 3,,GLOBAL TECHNOLGY ACQSTN CORP,UNIT 10/19/2026,
G3934P 10 2,,GLOBAL PARTNER ACQISTN CORP,CL A SHS,
G3934P 11 0,,GLOBAL PARTNER ACQISTN CORP,UNIT 01/06/2026,
G3934P 12 8,,GLOBAL PARTNER ACQISTN CORP,*W EXP 01/14/202,
G3934V 10 9,*,GENIUS SPORTS LIMITED,SHARES CL A,
G3934V 90 9,,GENIUS SPORTS LIMITED,CALL,
G3934V 95 9,,GENIUS SPORTS LIMITED,PUT,
G3937F 10 1,,GLOBAL LIGHTS ACQUISITION CO,ORD SHS,ADDED
G3937F 11 9,,GLOBAL LIGHTS ACQUISITION CO,RIGHT 11/14/2024,ADDED
G3937F 12 7,,GLOBAL LIGHTS ACQUISITION CO,UNIT 99/99/9999,ADDED
G3937M 10 6,,GLOBAL MOFY METAVERSE LTD,ORD SHS,ADDED
G39387 10 8,*,GLOBALFOUNDRIES INC,ORDINARY SHARES,
G39387 90 8,,GLOBALFOUNDRIES INC,CALL,
G39387 95 8,,GLOBALFOUNDRIES INC,PUT,
G3959D 10 9,,GOLDEN HEAVEN GROUP HLDGS LT,CL A SHS,
G39637 20 5,*,GOLDEN OCEAN GROUP LTD,SHS NEW,
G39973 11 3,,CHEER HLDG INC,*W EXP 02/13/202,
G39973 20 4,,CHEER HLDG INC,SHS NEW,ADDED
G4R20B 10 7,*,INTER & CO INC,CLASS A COM,
G4R20B 90 7,,INTER & CO INC,CALL,
G4R20B 95 7,,INTER & CO INC,PUT,
G4R23P 10 3,,HHG CAPITAL CORPORATION,ORDINARY SHARES,
G4R23P 12 9,,HHG CAPITAL CORPORATION,*W EXP 02/25/202,
G4R23P 13 7,,HHG CAPITAL CORPORATION,UNIT 02/25/2026,
G4R23P 14 5,,HHG CAPITAL CORPORATION,RIGHT 02/25/2026,
G4000A 10 2,,EDOC ACQUISITION CORP,CL A,
G4000A 11 0,,EDOC ACQUISITION CORP,*W EXP 11/30/202,
G4000A 13 6,,EDOC ACQUISITION CORP,RIGHT 11/30/2027,
G4000K 10 0,*,GORILLA TECHNOLOGY GROUP INC,ORDINARY SHARES,
G4000K 90 0,,GORILLA TECHNOLOGY GROUP INC,CALL,
G4000K 95 0,,GORILLA TECHNOLOGY GROUP INC,PUT,
G4000K 11 8,,GORILLA TECHNOLOGY GROUP INC,*W EXP 07/13/202,
G4013A 10 7,,GOLDEN SUN ED GROUP LTD,CLASS A ORD,
G4023C 10 1,,GOLDEN STAR ACQUISITION CORP,USD ORD SHS,
G4023C 11 9,,GOLDEN STAR ACQUISITION CORP,RIGHT 03/30/2025,
G4023C 12 7,,GOLDEN STAR ACQUISITION CORP,UNIT 05/01/2028,
G4095J 10 9,*,GREENLIGHT CAPITAL RE LTD,CLASS A,
G4095J 90 9,,GREENLIGHT CAPITAL RE LTD,CALL,
G4095J 95 9,,GREENLIGHT CAPITAL RE LTD,PUT,
G4095T 10 7,,GREENLAND TECHNOLOGIES HLDG,SHS NEW,
G4124C 10 9,*,GRAB HOLDINGS LIMITED,CLASS A ORD,
G4124C 90 9,,GRAB HOLDINGS LIMITED,CALL,
G4124C 95 9,,GRAB HOLDINGS LIMITED,PUT,
G42706 10 4,,HAMILTON INSURANCE GROUP LTD,CL B,ADDED
G4289N 20 5,,PARANOVUS ENTERTNMNT TECH LT,ORD SHS CL A NEW,
G4365A 10 1,,HCM ACQUISITION CO,CLASS A ORD SHS,
G4365A 11 9,,HCM ACQUISITION CO,UNIT 01/20/2027,
G4365A 12 7,,HCM ACQUISITION CO,*W EXP 01/20/202,
G4373K 10 9,,HEALTHCARE AI ACQUISITION CO,CLASS A ORD SHS,
G4373K 11 7,,HEALTHCARE AI ACQUISITION CO,*W EXP 12/07/202,
G4373K 12 5,,HEALTHCARE AI ACQUISITION CO,UNIT 12/07/2026,
G4375F 10 8,,HAYMAKER ACQUISITION CORP IV,CLASS A,
G4375F 11 6,,HAYMAKER ACQUISITION CORP IV,*W EXP 05/31/202,
G4375F 12 4,,HAYMAKER ACQUISITION CORP IV,UNIT 99/99/9999,
G4388N 10 6,*,HELEN OF TROY LTD,COM,
G4388N 90 6,,HELEN OF TROY LTD,CALL,
G4388N 95 6,,HELEN OF TROY LTD,PUT,
G4412G 10 1,*,HERBALIFE LTD,COM SHS,
G4412G 90 1,,HERBALIFE LTD,CALL,
G4412G 95 1,,HERBALIFE LTD,PUT,
G44525 10 6,,PEARL HOLDINGS ACQUISITN COR,CLASS A ORD SHS,
G44525 11 4,,PEARL HOLDINGS ACQUISITN COR,*W EXP 12/15/202,
G44525 12 2,,PEARL HOLDINGS ACQUISITN COR,UNIT 12/15/2026,
G4465R 10 3,,CHIJET MTR CO INC.,ORD SHS,
G4474Y 21 4,*,JANUS HENDERSON GROUP PLC,ORD SHS,
G4474Y 90 4,,JANUS HENDERSON GROUP PLC,CALL,
G4474Y 95 4,,JANUS HENDERSON GROUP PLC,PUT,
G4481U 10 6,,HIGHWAY HLDGS LTD,ORD,
G45139 10 5,,HITEK GLOBAL INC,ORD SHS,
G45667 10 5,*,HOLLYSYS AUTOMATION TCHNGY L,SHS,
G45667 90 5,,HOLLYSYS AUTOMATION TCHNGY L,CALL,
G45667 95 5,,HOLLYSYS AUTOMATION TCHNGY L,PUT,
G4594M 10 8,,HONGLI GROUP INC.,ORDINARY SHARES,
G46188 10 1,*,HORIZON THERAPEUTICS PUB L,SHS,DELETED
G4619M 10 9,,HORIZON SPACE ACQUSTN I CORP,ORDINARY SHARES,
G4619M 11 7,,HORIZON SPACE ACQUSTN I CORP,*W EXP 03/02/202,
G4619M 12 5,,HORIZON SPACE ACQUSTN I CORP,RIGHT 03/02/2024,
G4619M 13 3,,HORIZON SPACE ACQUSTN I CORP,UNIT 03/02/2029,
G4645E 10 5,,HUADI INTERNATIONAL GRP CO L,SHS,
G4660A 10 3,,HIMALAYA SHIPPING LTD,ORD SHS,
G4690M 10 1,*,IBEX LTD,SHS NEW,
G4690M 90 1,,IBEX LTD,CALL,
G4690M 95 1,,IBEX LTD,PUT,
G4701H 10 9,*,IHS HOLDING LIMITED,ORD SHS,
G4701H 90 9,,IHS HOLDING LIMITED,CALL,
G4701H 95 9,,IHS HOLDING LIMITED,PUT,
G4705A 10 0,*,ICON PLC,SHS,
G4705A 90 0,,ICON PLC,CALL,
G4705A 95 0,,ICON PLC,PUT,
G4740B 10 5,*,ICHOR HOLDINGS,SHS,
G4740B 90 5,,ICHOR HOLDINGS,CALL,
G4740B 95 5,,ICHOR HOLDINGS,PUT,
G4760B 10 0,,ICZOOM GROUP INC.,CL A ORD SHS,
G4760X 10 2,,INDONESIA ENERGY CORP LTD,ORD SHS,
G4766E 11 6,,INDIVIOR PLC,ORD,
G47724 11 0,,INFOBIRD CO LTD,SHS NEW,DELETED
G47724 12 8,,INFOBIRD CO LTD,SHS NEW,ADDED
G47862 10 0,,INFINT ACQUISITION CORP,CL A ORD SHS,
G47862 11 8,,INFINT ACQUISITION CORP,UNIT 99/99/9999,
G47862 12 6,,INFINT ACQUISITION CORP,*W EXP 99/99/999,DELETED
G4790U 10 2,,INFLECTION PT ACQUISITN CRP,CL A ORD SHS,
G4790U 11 0,,INFLECTION PT ACQUISITN CRP,*W EXP 08/31/202,
G4790U 12 8,,INFLECTION PT ACQUISITN CRP,UNIT 08/29/2031,
G48028 10 7,,INFINITE ACQUISITION CORP,CL A ORD SHS,DELETED
G48028 11 5,,INFINITE ACQUISITION CORP,UNIT 99/99/9999,DELETED
G48028 12 3,,INFINITE ACQUISITION CORP,*W EXP 11/23/202,DELETED
G4804S 10 1,,INTELLIGENT LIVING APPLICATI,ORD SHS,
G4809J 10 6,*,INTL GNRL INSURANCE HLDNGS L,SHS,
G4809J 90 6,,INTL GNRL INSURANCE HLDNGS L,CALL,
G4809J 95 6,,INTL GNRL INSURANCE HLDNGS L,PUT,
G4809J 11 4,,INTL GNRL INSURANCE HLDNGS L,*W EXP 03/17/202,DELETED
G4809M 10 9,,INNOVATIVE INTL ACQUSITIN CO,CLASS A ORD,DELETED
G4809M 11 7,,INNOVATIVE INTL ACQUSITIN CO,UNIT 10/26/2026,DELETED
G4809M 12 5,,INNOVATIVE INTL ACQUSITIN CO,*W EXP 07/01/202,DELETED
G4828B 10 0,,INTEGRATED WELLNESS ACQ CORP,ORD SHS CL A,
G4828B 11 8,,INTEGRATED WELLNESS ACQ CORP,*W EXP 10/31/202,
G4828B 12 6,,INTEGRATED WELLNESS ACQ CORP,UNIT 99/99/9999,
G4863A 10 8,*,INTERNATIONAL GAME TECHNOLOG,SHS USD,
G4863A 90 8,,INTERNATIONAL GAME TECHNOLOG,CALL,
G4863A 95 8,,INTERNATIONAL GAME TECHNOLOG,PUT,
G48833 11 8,*,WEATHERFORD INTL PLC,ORD SHS,
G48833 90 8,,WEATHERFORD INTL PLC,CALL,
G48833 95 8,,WEATHERFORD INTL PLC,PUT,
G491BT 10 8,*,INVESCO LTD,SHS,
G491BT 90 8,,INVESCO LTD,CALL,
G491BT 95 8,,INVESCO LTD,PUT,
G49219 10 1,,INVESTCORP INDIA ACQUISTN CO,CLASS A ORD SHS,
G49219 11 9,,INVESTCORP INDIA ACQUISTN CO,UNIT 06/01/2028,
G49219 12 7,,INVESTCORP INDIA ACQUISTN CO,*W EXP 06/01/202,
G4923T 10 5,,INVESTCORP EUROPE ACQUISITIO,CLASS A ORD SHS,
G4923T 11 3,,INVESTCORP EUROPE ACQUISITIO,*W EXP 12/15/202,
G4923T 12 1,,INVESTCORP EUROPE ACQUISITIO,UNIT 12/15/2026,
G49667 10 1,,ISRAEL ACQUISITIONS CORP,CLASS A ORD,
G49667 11 9,,ISRAEL ACQUISITIONS CORP,*W EXP 99/99/999,
G49667 13 5,,ISRAEL ACQUISITIONS CORP,UNIT 12/12/2027,
G5S11A 10 6,,JAGUAR GLOBAL GROWTH CORP I,CLASS A ORD SHS,DELETED
G5S11A 13 0,,JAGUAR GLOBAL GROWTH CORP I,*W EXP 11/23/202,DELETED
G5S11A 14 8,,JAGUAR GLOBAL GROWTH CORP I,UNIT 01/01/2027,DELETED
G5S11A 15 5,,JAGUAR GLOBAL GROWTH CORP I,RIGHT 01/01/2027,DELETED
G5S70A 10 4,,MAGNUM OPUS ACQUISITION LTD,SHS CL A,
G5S70A 11 2,,MAGNUM OPUS ACQUISITION LTD,*W EXP 03/06/202,
G5S70A 12 0,,MAGNUM OPUS ACQUISITION LTD,UNIT 06/03/2026,
G5000D 10 3,,IX ACQUISITION CORP,CLASS A ORD SHS,
G5000D 11 1,,IX ACQUISITION CORP,*W EXP 07/31/202,
G5000D 12 9,,IX ACQUISITION CORP,UNIT 07/31/2028,
G5005R 10 7,*,JAMES RIV GROUP LTD,COM,
G5005R 90 7,,JAMES RIV GROUP LTD,CALL,
G5005R 95 7,,JAMES RIV GROUP LTD,PUT,
G50716 10 2,,NVNI GROUP LIMITED,SHS,ADDED
G50716 11 0,,NVNI GROUP LIMITED,*W EXP 11/01/202,ADDED
G50737 10 8,,JAWS MUSTANG ACQUISITION COR,SHS CL A,
G50737 11 6,,JAWS MUSTANG ACQUISITION COR,UNIT 99/99/9999,
G50737 12 4,,JAWS MUSTANG ACQUISITION COR,*W EXP 01/30/202,
G5084H 10 3,,JAYUD GLOBAL LOGISTICS LTD,ORD SHS CL A,
G50871 10 5,*,JAZZ PHARMACEUTICALS PLC,SHS USD,
G50871 90 5,,JAZZ PHARMACEUTICALS PLC,CALL,
G50871 95 5,,JAZZ PHARMACEUTICALS PLC,PUT,
G50875 10 6,,JE CLEANTECH HOLDINGS LIMITE,ORDINARY SHARES,DELETED
G50875 20 5,,JE CLEANTECH HOLDINGS LIMITE,ORD SHS NEW,ADDED
G5140V 10 4,,JIN MED INTL LTD.,ORD SHS,
G51400 12 8,,JIUZI HOLDINGS INC,ORD SHS,
G51405 10 1,,FREIGHTOS LTD,ORD SHS,
G51405 11 9,,FREIGHTOS LTD,*W EXP 99/99/999,
G51413 11 3,,FREIGHT TECHNOLOGIES INC,SHS NEW,
G51502 10 5,*,JOHNSON CTLS INTL PLC,SHS,
G51502 90 5,,JOHNSON CTLS INTL PLC,CALL,
G51502 95 5,,JOHNSON CTLS INTL PLC,PUT,
G5194C 10 1,,JOWELL GLOBAL LTD,SHS,DELETED
G5194C 11 9,,JOWELL GLOBAL LTD,SHS NEW,ADDED
G52131 10 2,,KAIROUS ACQUISITION CORP LTD,UNIT 09/15/2026,
G52131 11 0,,KAIROUS ACQUISITION CORP LTD,ORDINARY SHARES,
G52131 12 8,,KAIROUS ACQUISITION CORP LTD,*W EXP 09/15/202,
G52131 13 6,,KAIROUS ACQUISITION CORP LTD,RIGHT 09/15/2026,
G5223X 14 2,*,KAIXIN AUTO HLDGS,SHS NEW,
G52443 10 1,,KEEN VISION ACQUISITION CORP,UNIT 99/99/9999,
G52443 11 9,,KEEN VISION ACQUISITION CORP,SHS,
G52443 12 7,,KEEN VISION ACQUISITION CORP,*W EXP 03/15/202,
G5251K 10 3,,KENSINGTON CAPITAL ACQUISITI,SHS CL A,
G5251K 11 1,,KENSINGTON CAPITAL ACQUISITI,UNIT 99/99/9999,
G5251K 12 9,,KENSINGTON CAPITAL ACQUISITI,*W EXP 99/99/999,
G5259L 10 3,,KERNEL GROUP HOLDINGS INC,CL A SHS,
G5259L 11 1,,KERNEL GROUP HOLDINGS INC,UNIT 99/99/9999,
G5259L 12 9,,KERNEL GROUP HOLDINGS INC,*W EXP 02/02/202,
G5260A 10 4,,KEYARCH ACQUISITION CORP,ORD SHS CL A,
G5260A 11 2,,KEYARCH ACQUISITION CORP,*W EXP 01/24/202,
G5260A 12 0,,KEYARCH ACQUISITION CORP,RIGHT 01/24/2027,
G5260A 13 8,,KEYARCH ACQUISITION CORP,UNIT 01/24/2027,
G5269C 10 1,*,KINIKSA PHARMACEUTICALS LTD,COM CL A,
G5269C 90 1,,KINIKSA PHARMACEUTICALS LTD,CALL,
G5269C 95 1,,KINIKSA PHARMACEUTICALS LTD,PUT,
G5279F 10 2,,EZGO TECHNOLOGIES LTD,SHS,
G52807 10 7,,QUADRO ACQUISITION ONE CORP,CL A SHS,
G52807 11 5,,QUADRO ACQUISITION ONE CORP,*W EXP 06/30/202,
G52807 12 3,,QUADRO ACQUISITION ONE CORP,UNIT 99/99/9999,
G5338L 10 8,,LAMF GLOBAL VENTURES CORP I,CLASS A ORD,
G5338L 11 6,,LAMF GLOBAL VENTURES CORP I,UNIT 11/05/2026,
G5338L 12 4,,LAMF GLOBAL VENTURES CORP I,*W EXP 11/05/202,
G5346G 10 9,,L CATTERTON ASIA ACQUISITION,UNIT 03/11/2026,
G5346G 11 7,,L CATTERTON ASIA ACQUISITION,*W EXP 03/08/202,
G5346G 12 5,,L CATTERTON ASIA ACQUISITION,CLASS A ORD SHS,
G5352N 10 5,,LAKESHORE ACQUISITION II COR,ORDINARY SHARES,
G5352N 11 3,,LAKESHORE ACQUISITION II COR,RIGHT 11/18/2026,
G5352N 12 1,,LAKESHORE ACQUISITION II COR,*W EXP 11/18/202,
G5352N 13 9,,LAKESHORE ACQUISITION II COR,UNIT 02/08/2027,
G5380J 10 0,,LANVIN GROUP HOLDINGS LIMITE,SHS,
G5380J 11 8,,LANVIN GROUP HOLDINGS LIMITE,*W EXP 01/14/202,
G5391L 10 2,,LAVORO LTD,CLASS A ORD,
G5391L 11 0,,LAVORO LTD,*W EXP 02/27/202,
G54050 10 2,*,LAZARD LTD,SHS A,
G54050 90 2,,LAZARD LTD,CALL,
G54050 95 2,,LAZARD LTD,PUT,
G54157 10 5,,LEARN CW INVESTMENT COR,CL A ORD SHS,
G54157 11 3,,LEARN CW INVESTMENT COR,*W EXP 10/08/202,
G54157 12 1,,LEARN CW INVESTMENT COR,UNIT 99/99/9999,
G5463R 10 2,,LEO HLDGS CORP II,COM CL A,DELETED
G5463R 11 0,,LEO HLDGS CORP II,UNIT 99/99/9999,DELETED
G5479G 10 8,,LICHEN CHINA LTD,CL A ORD SHS,
G5480U 10 4,*,LIBERTY GLOBAL PLC,SHS CL A,DELETED
G5480U 90 4,,LIBERTY GLOBAL PLC,CALL,DELETED
G5480U 95 4,,LIBERTY GLOBAL PLC,PUT,DELETED
G5480U 11 2,,LIBERTY GLOBAL PLC,SHS CL B,DELETED
G5480U 12 0,*,LIBERTY GLOBAL PLC,SHS CL C,DELETED
G5480U 90 0,,LIBERTY GLOBAL PLC,CALL,DELETED
G5480U 95 0,,LIBERTY GLOBAL PLC,PUT,DELETED
G54950 10 3,*,LINDE PLC,SHS,
G54950 90 3,,LINDE PLC,CALL,
G54950 95 3,,LINDE PLC,PUT,
G5500B 10 2,,LINKAGE GLOBAL INC,ORD SHS,ADDED
G55032 10 9,,MICROCLOUD HOLOGRAM INC,ORDINARY SHARES,
G55032 12 5,,MICROCLOUD HOLOGRAM INC,*W EXP 01/31/202,
G5509L 10 1,*,LIVANOVA PLC,SHS,
G5509L 90 1,,LIVANOVA PLC,CALL,
G5509L 95 1,,LIVANOVA PLC,PUT,
G5510R 10 5,,LIV CAPITAL ACQUISITN CORP I,CLASS A ORD SHS,DELETED
G5510R 11 3,,LIV CAPITAL ACQUISITN CORP I,*W EXP 02/07/202,DELETED
G5510R 12 1,,LIV CAPITAL ACQUISITN CORP I,UNIT 02/07/2027,DELETED
G5568L 10 9,,LIFEZONE METALS LIMITED,ORD SHS,
G5568L 11 7,,LIFEZONE METALS LIMITED,*W EXP 07/05/202,
G5698W 11 6,*,LUXFER HLDGS PLC,SHS,
G6053N 10 5,,METAL SKY STAR ACQUISITION C,ORDINARY SHARES,
G6053N 11 3,,METAL SKY STAR ACQUISITION C,RIGHT 03/30/2024,
G6053N 12 1,,METAL SKY STAR ACQUISITION C,*W EXP 03/31/202,
G6053N 13 9,,METAL SKY STAR ACQUISITION C,UNIT 03/31/2027,
G6055H 10 6,,BTC DIGITAL LTD,*W EXP 03/31/202,
G6055H 15 5,,BTC DIGITAL LTD,SHS NEW,
G6077Y 10 3,,MICROALGO INC,SHS,
G6095L 10 9,*,APTIV PLC,SHS,
G6095L 90 9,,APTIV PLC,CALL,
G6095L 95 9,,APTIV PLC,PUT,
G6096M 12 2,,APTORUM GROUP LIMITED,CL A ORD SHS NEW,
G61188 10 1,*,LIBERTY GLOBAL LTD,COM CL A,ADDED
G61188 90 1,,LIBERTY GLOBAL LTD,CALL,ADDED
G61188 95 1,,LIBERTY GLOBAL LTD,PUT,ADDED
G61188 11 9,,LIBERTY GLOBAL LTD,COM CL B,ADDED
G61188 12 7,*,LIBERTY GLOBAL LTD,COM CL C,ADDED
G61188 90 7,,LIBERTY GLOBAL LTD,CALL,ADDED
G61188 95 7,,LIBERTY GLOBAL LTD,PUT,ADDED
G6169A 10 4,,MILLENNIUM GROUP INTL HLDGS,ORD SHS,
G6180C 10 5,,MINGZHU LOGISTICS HLDGS LTD,COM,
G6181K 11 4,,MMTEC INC,SHS NEW,
G6202B 10 1,*,MONEYHERO LIMITED,ORD SHS,ADDED
G6202B 90 1,,MONEYHERO LIMITED,CALL,ADDED
G6202B 95 1,,MONEYHERO LIMITED,PUT,ADDED
G6202B 11 9,,MONEYHERO LIMITED,*W EXP 09/13/202,ADDED
G6301J 12 0,,MOUNTAIN & CO I ACQUISITN CO,UNIT 11/04/2026,
G63290 10 3,,ALPHA PARTNERS TECH MERGR CO,*W EXP 03/31/202,
G63290 11 1,,ALPHA PARTNERS TECH MERGR CO,CLASS A ORD SHS,
G63290 12 9,,ALPHA PARTNERS TECH MERGR CO,UNIT 03/31/2028,
G6331P 10 4,*,ALPHA & OMEGA SEMICONDUCTOR,SHS,
G6331P 90 4,,ALPHA & OMEGA SEMICONDUCTOR,CALL,
G6331P 95 4,,ALPHA & OMEGA SEMICONDUCTOR,PUT,
G6332A 10 6,,SEMANTIX INC,CL A ORD SHS,
G6332A 11 4,,SEMANTIX INC,*W EXP 08/03/202,
G6333L 20 0,,ITERUM THERAPEUTICS PLC,SHS NEW,
G63365 10 3,,MURAL ONCOLOGY PUB LTD CO,ORD SHS,ADDED
G6359F 13 7,*,NABORS INDUSTRIES LTD,SHS,
G6359F 90 7,,NABORS INDUSTRIES LTD,CALL,
G6359F 95 7,,NABORS INDUSTRIES LTD,PUT,
G6360J 10 2,,MULTIMETAVERSE HOLDINGS LTD,CLASS A ORD SHS,
G6360J 13 6,,MULTIMETAVERSE HOLDINGS LTD,*W EXP 01/04/202,
G6362F 10 8,,MULTI WAYS HOLDINGS LIMITED,ORDINARY SHARES,
G6363K 10 6,,NABORS ENERGY TRANSITION COR,CL A,
G6363K 11 4,,NABORS ENERGY TRANSITION COR,*W EXP 09/01/202,
G6363K 12 2,,NABORS ENERGY TRANSITION COR,UNIT 99/99/9999,
G6363T 10 7,*,NFT LIMITED,CLASS A,
G6363T 90 7,,NFT LIMITED,CALL,
G6363T 95 7,,NFT LIMITED,PUT,
G63836 10 3,,SWIFTMERGE ACQUISITION CORP,CLASS A ORD SHS,
G63836 11 1,,SWIFTMERGE ACQUISITION CORP,*W EXP 12/13/202,
G63836 12 9,,SWIFTMERGE ACQUISITION CORP,UNIT 12/13/2026,
G6448C 10 3,,NEWCOURT ACQUISITION CORP,CLASS A ORD SHS,
G6448C 11 1,,NEWCOURT ACQUISITION CORP,UNIT 10/20/2026,
G6448C 12 9,,NEWCOURT ACQUISITION CORP,*W EXP 01/22/202,
G6483G 10 0,*,NEWEGG COMMERCE INC,COMMON SHARES,
G6483G 90 0,,NEWEGG COMMERCE INC,CALL,
G6483G 95 0,,NEWEGG COMMERCE INC,PUT,
G65163 10 0,*,JOBY AVIATION INC,COMMON STOCK,
G65163 11 8,,JOBY AVIATION INC,*W EXP 08/10/202,
G6529J 10 0,,GDEV INC,ORDINARY SHARES,
G6529J 11 8,,GDEV INC,*W EXP 08/26/202,
G65431 12 7,*,NOBLE CORP PLC,ORD SHS A,
G65431 90 7,,NOBLE CORP PLC,CALL,
G65431 95 7,,NOBLE CORP PLC,PUT,
G65431 13 5,,NOBLE CORP PLC,*W EXP 02/04/202,
G65431 15 0,,NOBLE CORP PLC,*W EXP 02/04/202,
G6546R 10 1,,NORTHERN REVIVAL ACQUISITION,CL A SHS,
G6546R 11 9,,NORTHERN REVIVAL ACQUISITION,*W EXP 01/31/202,
G6546R 12 7,,NORTHERN REVIVAL ACQUISITION,UNIT 01/31/2028,
G6564A 10 5,*,NOMAD FOODS LTD,USD ORD SHS,
G6564A 90 5,,NOMAD FOODS LTD,CALL,
G6564A 95 5,,NOMAD FOODS LTD,PUT,
G65773 10 6,*,NORDIC AMERICAN TANKERS LIMI,COM,
G65773 90 6,,NORDIC AMERICAN TANKERS LIMI,CALL,
G65773 95 6,,NORDIC AMERICAN TANKERS LIMI,PUT,
G6580S 10 6,,NOCTURNE ACQUISITION CORP,RIGHT 12/26/2025,
G6580S 11 4,,NOCTURNE ACQUISITION CORP,ORDINARY SHARES,
G6580S 12 2,,NOCTURNE ACQUISITION CORP,UNIT 02/25/2026,
G6593L 12 2,,NISUN INTL ENT DVPMT GP CO L,SHS NEW,
G66721 10 4,*,NORWEGIAN CRUISE LINE HLDG L,SHS,
G66721 90 4,,NORWEGIAN CRUISE LINE HLDG L,CALL,
G66721 95 4,,NORWEGIAN CRUISE LINE HLDG L,PUT,
G6674U 10 8,*,NOVOCURE LTD,ORD SHS,
G6674U 90 8,,NOVOCURE LTD,CALL,
G6674U 95 8,,NOVOCURE LTD,PUT,
G6683N 10 3,*,NU HLDGS LTD,ORD SHS CL A,
G6683N 90 3,,NU HLDGS LTD,CALL,
G6683N 95 3,,NU HLDGS LTD,PUT,
G6693P 10 6,,NWTN INC,CLASS B ORD SHS,
G6693P 11 4,,NWTN INC,*W EXP 12/31/202,
G6700G 10 7,*,NVENT ELECTRIC PLC,SHS,
G6964L 11 5,,PAYSAFE LIMITED,*W EXP 03/30/202,
G6964L 20 6,*,PAYSAFE LIMITED,SHS,
G6964L 90 6,,PAYSAFE LIMITED,CALL,
G6964L 95 6,,PAYSAFE LIMITED,PUT,
G69768 10 2,,PEGASUS DIGITAL MOBILITY ACQ,CL A ORD SHS,
G69768 11 0,,PEGASUS DIGITAL MOBILITY ACQ,*W EXP 99/99/999,
G69768 12 8,,PEGASUS DIGITAL MOBILITY ACQ,UNIT 99/99/9999,
G7S00T 10 4,*,PENTAIR PLC,SHS,
G7S00T 90 4,,PENTAIR PLC,CALL,
G7S00T 95 4,,PENTAIR PLC,PUT,
G7S53R 10 4,*,PROKIDNEY CORP,CLASS A ORD SHS,
G7S53R 90 4,,PROKIDNEY CORP,CALL,
G7S53R 95 4,,PROKIDNEY CORP,PUT,
G7T16G 10 3,*,SAPIENS INTL CORP N V,SHS,
G7T16G 90 3,,SAPIENS INTL CORP N V,CALL,
G7T16G 95 3,,SAPIENS INTL CORP N V,PUT,
G7T96K 10 7,*,SCULLY ROYALTY LTD,COM SHS,
G7T96K 90 7,,SCULLY ROYALTY LTD,CALL,
G7T96K 95 7,,SCULLY ROYALTY LTD,PUT,
G70021 10 3,,PEPPERLIME HEALTH ACQUSTN CO,CLASS A ORD SHS,
G70021 11 1,,PEPPERLIME HEALTH ACQUSTN CO,*W EXP 10/01/202,
G7185A 12 8,*,PORTAGE BIOTECH INC,COM,
G7185A 90 8,,PORTAGE BIOTECH INC,CALL,
G7185A 95 8,,PORTAGE BIOTECH INC,PUT,
G7185D 10 6,,PERCEPTION CAPITAL CORP III,CLASS A ORD SHS,
